NIM,TUGAS1,TUGAS2,QUIZ1,QUIZ2,UTS,UAS,TOTAL

1101110061,50,75,50,78,79,40,60.62

1101110062,50,80,50,50,65,26,49.10

1101110063,60,75,77,79,50,51,57.17

1101110064,52,85,50,80,80,30,58.52

1101110065,70,85,50,80,80,88,80.17

1101110066,75,80,50,95,50,67,63.45

1101110067,72,80,70,90,85,86,83.25

1101110068,95,80,50,95,50,85,71.25

1101110069,76,95,90,100,95,79,87.97

1101110070,94,80,90,100,100,66,85.40

1101110071,92,75,60,92,95,79,84.82

1101110072,59,85,60,80,80,42,64.00

1101110073,50,80,70,90,85,61,72.85

1101110074,60,85,60,82,81,64,72.28

1101110075,98,95,80,100,100,100,97.97

1101110076,50,50,70,70,85,70,72.25

1101110077,100,100,90,90,95,96,95.35

1101110078,60,90,60,80,80,32,60.95

1101110079,66,100,90,90,95,100,94.20

1101110080,50,80,60,80,80,91,80.10

1101110081,73,95,90,90,95,88,90.15

1101110082,100,95,90,98,99,100,98.38

1101110083,80,95,90,90,95,100,94.88

1101110084,50,51,50,51,51,51,50.85

1101110085,62,95,90,90,95,58,78.82

1101110086,80,50,90,90,95,92,88.70

1101110087,60,95,70,70,85,64,74.28

1101110088,64,80,80,80,90,54,73.20

1101110089,85,85,90,95,50,100,79.12

1101110090,50,90,50,60,70,15,48.50

1101110091,60,80,80,80,80,72,75.70

1101110092,67,95,70,90,85,92,86.10

1101110093,60,90,60,84,82,71,75.60

1101110094,52,70,50,78,79,25,55.15

1101110095,53,100,90,90,95,74,84.12

1101110096,50,85,60,80,80,42,63.33

1101110097,72,85,50,91,50,73,65.40

1101110098,50,50,70,90,85,37,62.20

1101110099,88,90,80,88,94,56,78.45

1101110100,85,85,90,95,50,100,79.12

1101110101,50,90,50,60,70,15,48.50

Mean,67.56,83.07,69.93,83.93,80.12,66.63,

Nilai Maksimum,100,100,90,100,100,100,

Nilai Minimum,50,50,50,50,50,15,

Modus,50,80,90,90,95,100,

Median,62,85,70,90,82,70,

Nilai Q1,92,75,60,92,95,79,

Nilai Q3,67,95,70,90,85,92,

Varian,271.50,175.72,258.72,149.77,257.61,661.24,

Standar Deviasi,16.48,13.26,16.08,12.24,16.05,25.71,

